year,author,title
1960,"Wallace, Irving",The Chapman Report
1960,"O'Hara, John",Ourselves To Know
1960,"Davenport, Marcia",The Constant Image
1960,"Chase, Mary Ellen",The Lovely Ambition
1960,"Caldwell, Taylor",The Listener
1960,"Shute, Nevil",Trustee from the Toolroom
1960,"O'Hara, John",Sermons and Soda-Water
1961,"Stone, Irving",The Agony and the Ecstasy
1961,"Salinger, J. D.",Franny and Zooey
1961,"Lee, Harper",To Kill a Mockingbird
1961,"Uris, Leon",Mila 18
1961,"Robbins, Harold",The Carpetbaggers
1961,"Miller, Henry",Tropic of Cancer
1961,"Lenard, Alexander, trans.",Winnie Ille Pu
1961,"West, Morris",Daughter of Silence
1961,"O'Connor, Edwin",The Edge of Sadness
1961,"Steinbeck, John",The Winter of Our Discontent
1962,"Porter, Katherine Anne",Ship of Fools
1962,"Lindbergh, Anne Morrow",Dearly Beloved
1962,"Drury, Allen",A Shade of Difference
1962,"Wouk, Herman",Youngblood Hawke
1962,"Salinger, J. D.",Franny and Zooey
1962,"Burdick, Eugene and Harvey Wheeler",Fail-Safe
1962,"Knebel, Fletcher and Charles W. Bailey II",Seven Days in May
1962,"Wallace, Irving",The Prize
1962,"Stone, Irving",The Agony and the Ecstasy
1962,"Faulkner, William",The Reivers
1963,"West, Morris L.",The Shoes of the Fisherman
1963,"McCarthy, Mary",The Group
1963,"Salinger, J. D.","Raise High the Roof Beam, Carpenters, and Seymour--An Introduction"
1963,"Michener, James A.",Caravans
1963,"O'Hara, John",Elizabeth Appleton
1963,"Caldwell, Taylor",Grandmother and the Priests
1963,"Rechy, John",City of Night
1963,"du Maurier, Daphne",The Glass-Blowers
1963,"McKenna, Richard",The Sand Pebbles
1964,"Le Carre, John",The Spy Who Came in from the Cold
1964,"Southern, Terry and Mason Hoffenberg",Candy
1964,"Bellow, Saul",Herzog
1964,"Uris, Leon",Armageddon
1964,"Wallace, Irving",The Man
1964,"Auchincloss, Louis",The Rector of Justin
1964,"Kim, Richard E.",The Martyred
1964,"Fleming, Ian",You Only Live Twice
1964,"Stewart, Mary",This Rough Magic
1964,"Knebel, Fletcher and Charles W. Bailey II",Convention
1965,"Michener, James A.",The Source
1965,"Kaufman, Bel",Up the Down Staircase
1965,"Bellow, Saul",Herzog
1965,"Le Carre, John",The Looking Glass War
1965,"Moore, Robin",The Green Berets
1965,"Stone, Irving",Those Who Love
1965,"Fleming, Ian",The Man with the Golden Gun
1965,"Hailey, Arthur",Hotel
1965,"West, Morris",The Ambassador
1965,"Wouk, Herman",Don't Stop the Carnival
1966,"Susann, Jacqueline",Valley of the Dolls
1966,"Robbins, Harold",The Adventurers
1966,"Crichton, Robert",The Secret of Santa Vittoria
1966,"Drury, Allen",Capable of Honor
1966,"MacInnes, Helen",The Double Image
1966,"Malamud, Bernard",The Fixer
1966,"St. Johns, Adela Rogers",Tell No Man
1966,"Clavell, James",Tai-Pan
1966,"Auchincloss, Louis",The Embezzler
1966,"O'Connor, Edwin",All in the Family
1967,"Kazan, Elia",The Arrangement
1967,"Styron, William",The Confessions of Nat Turner
1967,"Potok, Chaim",The Chosen
1967,"Uris, Leon",Topaz
1967,"Marshall, Catherine",Christy
1967,"Wilder, Thornton",The Eighth Day
1967,"Levin, Ira",Rosemary's Baby
1967,"Wallace, Irving",The Plot
1967,"Stewart, Mary",The Gabriel Hounds
1967,"Sutton, Henry",The Exhibitionist
1968,"Hailey, Arthur",Airport
1968,"Updike, John",Couples
1968,"MacInnes, Helen",The Salzburg Connection
1968,"Le Carre, John",A Small Town in Germany
1968,"Caldwell, Taylor",Testimony of Two Men
1968,"Drury, Allen",Preserve and Protect
1968,"Vidal, Gore",Myra Breckinridge
1968,"Knebel, Fletcher",Vanished
1968,"Marshall, Catherine",Christy
1968,"West, Morris L.",The Tower of Babel
1969,"Roth, Philip",Portnoy's Complaint
1969,"Puzo, Mario",The Godfather
1969,"Susann, Jacqueline",The Love Machine
1969,"Robbins, Harold",The Inheritors
1969,"Crichton, Michael",The Andromeda Strain
1969,"Wallace, Irving",The Seven Minutes
1969,"Ashe, Penelope",Naked Came the Stranger
1969,"Potok, Chaim",The Promise
1969,"Davis, Gwen",The Pretenders
1969,"du Maurier, Daphne",The House on the Strand
1970,"Segal, Erich",Love Story
1970,"Fowles, John",The French Lieutenant's Woman
1970,"Hemingway, Ernest",Islands in the Stream
1970,"Stewart, Mary",The Crystal Cave
1970,"Caldwell, Taylor",Great Lion of God
1970,"Uris, Leon",QB VII
1970,"Breslin, Jimmy",The Gang That Couldn't Shoot Straight
1970,"Holt, Victoria",The Secret Woman
1970,"Greene, Graham",Travels with My Aunt
1970,"Shaw, Irwin","Rich Man, Poor Man"
1971,"Hailey, Arthur",Wheels
1971,"Blatty, William P.",The Exorcist
1971,"Stone, Irving",The Passions of the Mind
1971,"Forsyth, Frederick",The Day of the Jackal
1971,"Robbins, Harold",The Betsy
1971,"MacInnes, Helen",Message from Malaga
1971,"Wouk, Herman",The Winds of War
1971,"Michener, James A.",The Drifters
1971,"Tryon, Thomas",The Other
1971,"Updike, John",Rabbit Redux
1972,"Bach, Richard",Jonathan Livingston Seagull
1972,"Solzhenitsyn, Alexander","August, 1914"
1972,"Forsyth, Frederick",The Odessa File
1972,"Forsyth, Frederick",The Day of the Jackal
1972,"Wallace, Irving",The Word
1972,"Wouk, Herman",The Winds of War
1972,"Caldwell, Taylor",Captains and the Kings
1972,"Holmes, Marjorie",Two from Galilee
1972,"Potok, Chaim",My Name Is Asher Lev
1972,"Jenkins, Dan",Semi-Tough
1973,"Bach, Richard",Jonathan Livingston Seagull
1973,"Susann, Jacqueline",Once Is Not Enough
1973,"Vonnegut, Kurt",Breakfast of Champions
1973,"Forsyth, Frederick",The Odessa File
1973,"Vidal, Gore",Burr
1973,"Stewart, Mary",The Hollow Hills
1973,"Shaw, Irwin",Evening in Byzantium
1973,"Ludlum, Robert",The Matlock Paper
1973,"Erdman, Paul E.",The Billion Dollar Sure Thing
1973,"Greene, Graham",The Honorary Consul
1974,"Michener, James A.",Centennial
1974,"Adams, Richard",Watership Down
1974,"Benchley, Peter",Jaws
1974,"Le Carre, John","Tinker, Tailor, Soldier, Spy"
1974,"Heller, Joseph",Something Happened
1974,"Forsyth, Frederick",The Dogs of War
1974,"Robbins, Harold J.",The Pirate
1974,"Craven, Margaret",I Heard the Owl Call My Name
1974,"Watson, John H.",The Seven-Per-Cent Solution
1974,"Wallace, Irving",The Fan Club
1975,"Doctorow, E. L.",Ragtime
1975,"Hailey, Arthur",The Moneychangers
1975,"Christie, Agatha",Curtain
1975,"Rossner, Judith",Looking for Mister Goodbar
1975,"Wambaugh, Joseph",The Choirboys
1975,"Higgins, Jack",The Eagle Has Landed
1975,"Stone, Irving",The Greek Treasure: A Biographical Novel of Henry and Sophia Schliemann
1975,"Crichton, Michael",The Great Train Robbery
1975,"Clavell, James",Shogun
1975,"Bellow, Saul",Humboldt's Gift
1976,"Uris, Leon",Trinity
1976,"Christie, Agatha",Sleeping Murder
1976,"Susann, Jacqueline",Dolores
1976,"Higgins, Jack",Storm Warning
1976,"Benchley, Peter",The Deep
1976,"Vidal, Gore",1876
1976,"Vonnegut, Kurt","Slapstick: or, Lonesome No More!"
1976,"Robbins, Harold",The Lonely Lady
1976,"Stewart, Mary",Touch Not the Cat
1976,"Sheldon, Sidney",A Stranger in the Mirror
1977,"Tolkien, J.R.R.; Christopher Tolkien",The Silmarillion
1977,"McCullough, Colleen",The Thorn Birds
1977,"Bach, Richard",Illusions: The Adventures of a Reluctant Messiah
1977,"Le Carre, John",The Honourable Schoolboy
1977,"Segal, Erich",Oliver's Story
1977,"Robbins, Harold",Dreams Die First
1977,"Shaw, Irwin","Beggarman, Thief"
1977,"Jong, Erica",How To Save Your Own Life
1977,"Nin, Anais",Delta of Venus: Erotica
1977,"Fowles, John",Daniel Martin
1978,"Michener, James A.",Chesapeake
1978,"Wouk, Herman",War and Remembrance
1978,"Puzo, Mario",Fools Die
1978,"Sheldon, Sidney",Bloodlines
1978,"Krantz, Judith",Scruples
1978,"Plain, Belva",Evergreen
1978,"Bach, Richard",Illusions: The Adventures of a Reluctant Messiah
1978,"Ludlum, Robert",The Holcroft Covenant
1978,"Fast, Howard",Second Generation
1978,"Follett, Ken",Eye of the Needle
1978,"Greene, Graham",The Human Factor
1978,"Kaye, M.M.",The Far Pavilions
1978,"MacInnes, Helen",Prelude to Terror
1978,"Irving, John",The World According to Garp
1978,"Jones, James",Whistle
1979,"Ludlum, Robert",The Matarese Circle
1979,"Styron, William",Sophie's Choice
1979,"Hailey, Arthur",Overload
1979,"Robbins, Harold",Memories of Another Day
1979,"Vonnegut, Kurt",Jailbird
1979,"King, Stephen",The Dead Zone
1979,"Stewart, Mary",The Last Enchantment
1979,"Fast, Howard",The Establishment
1979,"Hackett, Gen. Sir John, et al.",The Third World War: August 1985
1979,"Le Carre, John",Smiley's People
1979,"Follett, Ken",Triple
1979,"Heller, Joseph",Good as Gold
1979,"Bach, Richard",There's No Such Place as Far Away
1979,"Benchley, Peter",The Island
1979,"Hill, Ruth Beebe",Hanta Yo
1980,"Michener, James A.",The Covenant
1980,"Ludlum, Robert",The Bourne Identity
1980,"Sheldon, Sidney",Rage of Angels
1980,"Krantz, Judith",Princess Daisy
1980,"King, Stephen",Firestarter
1980,"Follett, Ken",The Key to Rebecca
1980,"Plain, Belva",Random Winds
1980,"Forsyth, Frederick",The Devil's Alternative
1980,"Collins, Larry and Dominique Lapierre",The Fifth Horseman
1980,"de Borchgrave, Arnaud and Robert Moss",The Spike
1980,"Freeman, Cynthia",Come Pour the Wine
1980,"Jong, Erica","Fanny, Being the True History of the Adventures of Fanny Hackabout Jones"
1980,"Doctorow, E.L.",Loon Lake
1980,"Caldwell, Taylor",Answer as a Man
1980,"Sanders, Lawrence",The Tenth Commandment
1981,"Clavell, James",Noble House
1981,"Irving, John",The Hotel New Hampshire
1981,"King, Stephen",Cujo
1981,"McCullough, Colleen",An Indecent Obsession
1981,"Smith, Martin Cruz",Gorky Park
1981,"Williams, Kit",Masquerade
1981,"Robbins, Harold","Goodbye, Janette"
1981,"Sanders, Lawrence",The Third Deadly Sin
1981,"Wambaugh, Joseph",The Glitter Dome
1981,"Freeman, Cynthia",No Time for Tears
1981,"Herbert, Frank",God Emperor of Dune
1981,"Fast, Howard",The Legacy
1981,"Greeley, Andrew M.",The Cardinal Sins
1981,"Erdman, Paul",The Last Days of America
1981,"MacDonald, John D.",Free Fall in Crimson
1982,"Kotzwinkle, William","E.T., the Extra-Terrestrial Storybook"
1982,"Michener, James A.",Space
1982,"Ludlum, Robert",The Parsifal Mosaic
1982,"Sheldon, Sidney",Master of the Game
1982,"Krantz, Judith",Mistral's Daughter
1982,"Auel, Jean M.",The Valley of Horses
1982,"King, Stephen",Different Seasons
1982,"Jakes, John",North and South
1982,"Clarke, Arthur C.",2010: Odyssey Two
1982,"Follett, Ken",The Man from St. Petersburg
1982,"Archer, Jeffrey",The Prodigal Daughter
1982,"Asimov, Isaac",Foundation's Edge
1982,"Steel, Danielle",Crossings
1982,"Donaldson, Stephen R.",The One Tree: Book Two of The Second Chronicles of Thomas Covenant
1982,"Robbins, Harold",Spellbinder
1983,"Vinge, Joan D., adapt.",Return of the Jedi Storybook
1983,"Michener, James A.",Poland
1983,"King, Stephen",Pet Sematary
1983,"Le Carre, John",The Little Drummer Girl
1983,"King, Stephen",Christine
1983,"Steel, Danielle",Changes
1983,"Eco, Umberto",The Name of the Rose
1983,"Donaldson, Stephen R.",White Gold Wielder: Book Three of The Second Chronicles of Thomas Covenant
1983,"Collins, Jackie",Hollywood Wives
1983,"L'Amour, Louis",The Lonesome Gods
1983,"Adler, Bill and Thomas Chastain",Who Killed the Robins Family?
1983,"Asimov, Isaac",The Robots of Dawn
1983,"Rossner, Judith",August
1983,"Mailer, Norman",Ancient Evenings
1983,"McCaffrey, Anne",Moreta: Dragonlady of Pern
1984,"King, Stephen and Peter Straub",The Talisman
1984,"Ludlum, Robert",The Aquitaine Progression
1984,"Puzo, Mario",The Sicilian
1984,"Jakes, John",Love and War
1984,Dr. Seuss,The Butter Battle Book
1984,"Santmyer, Helen Hooven",""". . . And the Ladies of the Club"""
1984,"Forsyth, Frederick",The Fourth Protocol
1984,"Steel, Danielle",Full Circle
1984,"Rivers, Joan",The Life and Hard Times of Heidi Abromowitz
1984,"Vidal, Gore",Lincoln: A Novel
1984,"L'Amour, Louis",The Walking Drum
1984,"Uris, Leon",The Haj
1984,"Haley, Arthur",Strong Medicine
1984,"Archer, Jeffrey",First Among Equals
1984,"Vinge, Joan D.",The Dune Storybook
1985,"Auel, Jean M.",The Mammoth Hunters
1985,"Michener, James A.",Texas
1985,"Keillor, Garrison",Lake Wobegon Days
1985,"Sheldon, Sidney",If Tomorrow Comes
1985,"King, Stephen",Skeleton Crew
1985,"Steel, Danielle",Secrets
1985,"Sagan, Carl",Contact
1985,"Collins, Jackie",Lucky
1985,"Steel, Danielle",Family Album
1985,"L'Amour, Louis",Jubal Sackett
1985,"King, Stephen",Thinner
1985,"Irving, John",Cider House Rules
1985,"Clancy, Tom",The Hunt for Red October
1985,"Sanders, Lawrence",The Fourth Deadly Sin
1985,"Wouk, Herman","Inside, Outside"
1986,"King, Stephen",It
1986,"Clancy, Tom",Red Storm Rising
1986,"Clavell, James",Whirlwind
1986,"Ludlum, Robert",The Bourne Supremacy
1986,"Collins, Jackie",Hollywood Husbands
1986,"Steel, Danielle",Wanderlust
1986,"Krantz, Judith",I'll Take Manhattan
1986,"L'Amour, Louis",Last of the Breed
1986,"Conroy, Pat",The Prince of Tides
1986,"Le Carre, John",A Perfect Spy
1986,"Archer, Jeffrey",A Matter of Honor
1986,"Follett, Ken",Lie Down with Lions
1986,"Sanders, Lawrence",The Eighth Commandment
1986,"Bradford, Barbara Taylor",Act of Will
1986,"Cussler, Clive",Cyclops
1987,"King, Stephen",The Tommyknockers
1987,"Clancy, Tom",Patriot Games
1987,"Steel, Danielle",Kaleidoscope
1987,"King, Stephen",Misery
1987,"Keillor, Garrison",Leaving Home: A Collection of Lake Wobegon Stories
1987,"Sheldon, Sidney",Windmills of the Gods
1987,"Turow, Scott",Presumed Innocent
1987,"Steel, Danielle",Fine Things
1987,"Jakes, John",Heaven and Hell
1987,"King, Stephen",The Eyes of the Dragon
1987,"L'Amour, Louis",The Haunted Mesa
1987,"Wolfe, Tom",The Bonfire of the Vanities
1987,"Michener, James A.",Legacy
1987,"Clarke, Arthur C.",2061: Odyssey Three
1987,"Clark, Mary Higgins",Weep No More My Lady
1988,"Clancy, Tom",The Cardinal of the Kremlin
1988,"Sheldon, Sidney",The Sands of Time
1988,"Steel, Danielle",Zoya
1988,"Ludlum, Robert",The Icarus Agenda
1988,"Michener, James A.",Alaska
1988,"Krantz, Judith",Till We Meet Again
1988,"Rice, Anne",The Queen of the Damned
1988,"Bradford, Barbara Taylor",To Be the Best
1988,"Bach, Richard",One: A Novel
1988,"Uris, Leon",Mitla Pass
1988,"Wolfe, Tom",The Bonfire of the Vanities
1988,"Coonts, Stephen",Final Flight
1988,"Collins, Jackie",Rock Star
1988,"Grimm, Wilhelm",Dear Mili
1988,"Francis, Dick",Hot Money
1989,"Clancy, Tom",Clear and Present Danger
1989,"King, Stephen",The Dark Half
1989,"Steel, Danielle",Daddy
1989,"Steel, Danielle",Star
1989,"Michener, James A.",Caribbean
1989,"Rushdie, Salman",The Satanic Verses
1989,"Le Carre, John",The Russia House
1989,"Follett, Ken",The Pillars of the Earth
1989,"Jakes, John",California Gold
1989,"Clark, Mary Higgins",While My Pretty One Sleeps
1989,"Koontz, Dean R.",Midnight
1989,"Stewart, Jimmy",Jimmy Stewart and His Poems
1989,"Forsyth, Frederick",The Negotiator
1989,"Francis, Dick",Straight
1989,"Smith, Martin Cruz",Polar Star
1990,"Auel, Jean M.",The Plains of Passage
1990,"King, Stephen",Four Past Midnight
1990,"Turow, Scott",The Burden of Proof
1990,"Sheldon, Sidney",Memories of Midnight
1990,"Steel, Danielle",Message from Nam
1990,"Ludlum, Robert",The Bourne Ultimatum
1990,"King, Stephen",The Stand
1990,"Collins, Jackie",Lady Boss
1990,"Rice, Anne",The Witching Hour
1990,"Pilcher, Rosamunde",September
1990,"Krantz, Judith",Dazzle
1990,"Koontz, Dean R.",The Bad Place
1990,"Bradford, Barbara Taylor",The Women in His Life
1990,"McCullough, Colleen",The First Man in Rome
1990,"Cussler, Clive",Dragon
1991,"Ripley, Alexandra","Scarlett: The Sequel to Margaret Mitchell's ""Gone with the Wind,"""
1991,"Clancy, Tom",The Sum of All Fears
1991,"King, Stephen",Needful Things
1991,"Steel, Danielle",No Greater Love
1991,"Steel, Danielle",Heartbeat
1991,"Sheldon, Sidney",The Doomsday Conspiracy
1991,"Grisham, John",The Firm
1991,"Follett, Ken",Night Over Water
1991,"Bradford, Barbara Taylor",Remember
1991,"Clark, Mary Higgins","Loves Music, Loves to Dance"
1991,"Koontz, Dean R.",Cold Fire
1991,"Tan, Amy",The Kitchen God's Wife
1991,"Michael, Judith",Sleeping Beauty
1991,"Zahn, Timothy",Star Wars: Heir to the Empire
1991,"Keillor, Garrison",WLT: A Radio Romance
1992,"King, Stephen",Dolores Claiborne
1992,"Grisham, John",The Pelican Brief
1992,"King, Stephen",Gerald's Game
1992,"Steel, Danielle",Mixed Blessings
1992,"Steel, Danielle",Jewels
1992,"Sheldon, Sidney",The Stars Shine Down
1992,"Rice, Anne",Tale of the Body Thief
1992,"Michener, James A.",Mexico
1992,"McMillan, Terry",Waiting to Exhale
1992,"Clark, Mary Higgins",All Around the Town
1992,"Krantz, Judith",Scruples Two
1992,"Cussler, Clive",Sabara
1992,"Koontz, Dean R.",Hideaway
1992,"Ludlum, Robert",The Road to Omaha
1992,"Zahn, Timothy",Star Wars: Dark Force Rising
1993,"Waller, James Robert",The Bridges of Madison County
1993,"Grisham, John",The Client
1993,"Waller, James Robert",Slow Waltz at Cedar Bend
1993,"Clancy, Tom",Without Remorse
1993,"King, Stephen",Nightmares and Dreamscapes
1993,"Steel, Danielle",Vanished
1993,"Rice, Anne",Lasher
1993,"Turow, Scott",Pleading Guilty
1993,"Esquivel, Laura",Like Water for Chocolate
1993,"Ludlum, Robert",The Scorpio Illusion
1993,"Bantock, Nick",The Golden Mean
1993,"Clark, Mary Higgins",I'll Be Seeing You
1993,"Follett, Ken",A Dangerous Fortune
1993,"Koontz, Dean",Mr. Murder
1993,"Clavell, James",Gai-Jin
1994,"Grisham, John",The Chamber
1994,"Clancy, Tom",Debt of Honor
1994,"Redfield, James",The Celestine Prophecy
1994,"Steel, Danielle",The Gift
1994,"King, Stephen",Insomnia
1994,"Garner, James Finn",Politically Correct Bedtime Stories
1994,"Steel, Danielle",Wings
1994,"Steel, Danielle",Accident
1994,"Waller, James Robert",The Bridges of Madison County
1994,"Crichton, Michael",Disclosure
1994,"Sheldon, Sidney",Nothing Lasts Forever
1994,"Rice, Anne",Taltos
1994,"Koontz, Dean",Dark Rivers of the Heart
1994,"Clark, Mary Higgins",The Lottery Winner
1994,"Clark, Mary Higgins",Remember Me
1994,"Cornwell, Patricial",The Body Farm
1994,"Grafton, Sue",K is for Killer
1994,"Bradford, Barbara Taylor",Everything to Gain
1994,"DeMille, Nelson",Spencerville
1994,"Francis, Dick",Wild Horses
1994,"Cussler, Clive",Inca Gold
1994,"Morgan, Marlo",Mutant Message Down Under
1994,"Jordan, Robert",Lord of Chaos
1994,"Cook, Robin",Fatal Cure
1994,"Spencer, LaVyrle",Family Blessings
1995,"Grisham, John",The Rainmaker
1995,"Crichton, Michael",The Lost World
1995,"Steel, Danielle",Five Days in Paris
1995,"Evans, Richard Paul",The Christmas Box
1995,"Steel, Danielle",Lightning
1995,"Redfield, James",The Celestine Prophecy
1995,"King, Stephen",Rose Madder
1995,"Clark, Mary Higgins",Silent Night
1995,"Garner, James Finn",Politically Correct Holiday Stories
1995,"Evans, Nicholas",The Horse Whisperer
1995,"Garner, James Finn",Politically Correct Bedtime Stories
1995,"Rice, Anne",Memnoch the Devil
1995,"Conroy, Pat",Beach Music
1995,"Cornwell, Patricia",From Potter's Field
1995,"Sheldon, Sidney","Morning, Noon, and Night"
1996,"Grisham, John",The Runaway Jury
1996,"Clancy, Tom",Executive Orders
1996,"King, Stephen",Desperation
1996,"Crichton, Michael",Airframe
1996,"Bachman, Richard",The Regulators
1996,"Steel, Danielle",Malice
1996,"Steel, Danielle",Silent Honor
1996,Anonymous,Primary Colors
1996,"Cornwell, Patricia",Cause of Death
1996,"Redfield, James",The Tenth Insight
1996,"Mitchard, Jacquelyn",The Deep End of the Ocean
1996,"McMillan, Terry",How Stella Got Her Groove Back
1996,"Clark, Mary Higgins",Moonlight Becomes You
1996,"Clark, Mary Higgins",My Gal Sunday
1996,"Redfield, James",The Celestine Prophecy
1997,"Grisham, John",The Partner
1997,"Rowling, JK",Harry Potter and the Sorcerer's Stone
1997,"Frazier, Charles",Cold Mountain
1997,"Steel, Danielle",The Ghost
1997,"Steel, Danielle",The Ranch
1997,"Steel, Danielle",Special Delivery
1997,"Cornwell, Patricia",Unnatural Exposure
1997,"Sheldon, Sidney",The Best Laid Plans
1997,"Clark, Mary Higgins",Pretend You Don't See Her
1997,"Patterson, James",Cat &amp; Mouse
1997,"Cornwell, Patricia",Hornet's Nest
1997,"Evans, Richard Paul",The Letter
1997,"Cussler, Clive",Flood Tide
1997,"Rice, Anne",Violin
1997,"Ludlum, Robert",The Matarese Countdown
1997,"DeMille, Nelson",Plum Island
1998,"Grisham, John",The Street Lawyer
1998,"Clancy, Tom",Rainbow Six
1998,"King, Stephen",Bag of Bones
1998,"Wolfe, Tom",A Man in Full
1998,"Steel, Danielle",Mirror Image
1998,"Steel, Danielle",The Long Road Home
1998,"Steel, Danielle",The Klone and I
1998,"Cornwell, Patricia",Point of Origin
1998,"Morrison, Toni",Paradise
1998,"Clark, Mary Higgins",All Through the Night
1998,"Lamb, Wally",I Know This Much Is True
1998,"Sheldon, Sidney",Tell Me Your Dreams
1998,"Rice, Anne",The Vampire Armand
1998,"Evans, Nicholas",The Loop
1998,"Clark, Mary Higgins",You Belong to Me
1999,"Grisham, John",The Testament
1999,"Harris, Thomas",Hannibal
1999,"Jenkins, Jerry B.",Assassins
1999,"Brooks, Terry","Star Wars: Episode I, The Phantom Menace"
1999,"Crichton, Michael",Timeline
1999,"King, Stephen",Hearts in Atlantis
1999,"Jenkins, Jerry B.",Apollyon
1999,"King, Stephen",The Girl Who Loved Tom Gordon
1999,"Steel, Danielle",Irresistible Forces
1999,"Binchy, Maeve",Tara Road
1999,"Fitch, Janet",White Oleander
1999,"Sparks, Nicholas",A Walk to Remember
1999,"Patterson, James",Pop Goes the Weasel
1999,"Cornwell, Patricia",Black Notice
1999,"Steel, Danielle",Granny Dan
