,"docid","actualdate","earliestdate","firstpub","sales","recordid","OCLC","author","imprint","enumcron","title","birthdate","gender","nationality","othername","notes","path","recept","authsvols"
180,"nyp.33433074872130",1916,1904,1904,"notbest",,,"Hudson, W. H","New York;Modern Library;1916",,"Green Mansions",1841,"m","uk",,,"nyp/pairtree_root/33/43/30/74/87/21/30/33433074872130/nyp.33433074872130.json.bz2","vulgar",57
181,"nyp.33433074949177",1902,1902,1902,"notbest",,,"Hobbes, John Oliver","New York;Funk & Wagnalls;1902.",,"Love and the soul hunters",1867,"f","us","Pearl Mary Teresa Craigie",,"nyp/pairtree_root/33/43/30/74/94/91/77/33433074949177/nyp.33433074949177.json.bz2","vulgar",41
182,"nyp.33433074893409",1901,1901,,"notbest",,,"Mason, A. E. W","New York;F. Stokes;c1901.",,"Ensign Knightley",1865,"m ","uk",,,"nyp/pairtree_root/33/43/30/74/89/34/09/33433074893409/nyp.33433074893409.json.bz2","vulgar",48
183,"mdp.39015005096006",1901,1901,,"notbest",,,"Jewett, Sarah Orne","Boston;New York;Houghton, Mifflin and company;1901.",,"The Tory lover",1849,"f","us",,,"mdp/pairtree_root/39/01/50/05/09/60/06/39015005096006/mdp.39015005096006.json.bz2","vulgar",73
184,"uc2.ark+=13960=t4wh2g65s",1903,1903,1903,"notbest",,,"Andrews, Mary Raymond Shipman","New York;London;Harper & brothers;1903.",,"A kidnapped colony",1860,"f","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/4w/h2/g6/5s/ark+=13960=t4wh2g65s/uc2.ark+=13960=t4wh2g65s.json.bz2","vulgar",54
185,"uc2.ark+=13960=t4sj1gm8n",1908,1908,1908,"notbest",324648,2747339,"Phillpotts, Eden","London;Ward, Lock & co.;1908.",,"The mother",1862,"m","uk",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/4s/j1/gm/8n/ark+=13960=t4sj1gm8n/uc2.ark+=13960=t4sj1gm8n.json.bz2","elite",283
186,"mdp.39015059386071",1903,1903,1903,"notbest",,,"Ade, George","New York;McClure, Phillips & Co.;1903.",,"In Babel;",1866,"m","us",,,"mdp/pairtree_root/39/01/50/59/38/60/71/39015059386071/mdp.39015059386071.json.bz2","vulgar",61
187,"mdp.39015030198637",1904,1904,1904,"notbest",,,"Watanna, Onoto","New York;London;The Macmillan company;1904.",,"Daughters of Nijo",1875,"f","ca","Winifred Eaton",,"mdp/pairtree_root/39/01/50/30/19/86/37/39015030198637/mdp.39015030198637.json.bz2","vulgar",24
188,"mdp.39015063939782",1903,1903,1903,"notbest",280839,5258257,"Loomis, Charles Battell","New York;H. Holt and company;1903.",,"Cheerful Americans",1861,"m","us",,,"mdp/pairtree_root/39/01/50/63/93/97/82/39015063939782/mdp.39015063939782.json.bz2","elite",25
189,"nyp.33433074902291",1902,1902,,"notbest",,,"Montagu, Lily H","London;R.B. Johnson;1902.",,"Broken stalks",1873,"f","uk",,,"nyp/pairtree_root/33/43/30/74/90/22/91/33433074902291/nyp.33433074902291.json.bz2","vulgar",1
190,"uc1.b3387887",1907,1901,1901,"notbest",,,"Flandrau, Charles Macomb","New York;A. Wessels company;1907.",,"The diary of a freshman",1871,"m","us",,,"uc1/pairtree_root/b3/38/78/87/b3387887/uc1.b3387887.json.bz2","vulgar",9
191,"uc2.ark+=13960=t0tq5rf85",1901,1901,1901,"notbest",114404,4801039,"Cable, George Washington","New York;C. Scribner's sons;1901.",,"The cavalier",1844,"m","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/0t/q5/rf/85/ark+=13960=t0tq5rf85/uc2.ark+=13960=t0tq5rf85.json.bz2","elite",63
192,"nyp.33433076058274",1908,1908,,"notbest",,,"Travis, Elma A","New York;The Outing Publishing Company;1908.",,"The cobbler",1861,"f","us",,,"nyp/pairtree_root/33/43/30/76/05/82/74/33433076058274/nyp.33433076058274.json.bz2","vulgar",1
193,"uc2.ark+=13960=t8v980b3t",1905,1905,1905,"notbest",,,"Dickson, Thomas","New York;A. Wessels;1907.",,"The clansman",1864,"m","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/8v/98/0b/3t/ark+=13960=t8v980b3t/uc2.ark+=13960=t8v980b3t.json.bz2","vulgar",52
194,"uc2.ark+=13960=t45q4v85j",1901,1901,,"notbest",,,"Onions, Oliver","New York;F. A. Stokes company;c1901",,"The compleat bachelor",1873,"m","uk",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/45/q4/v8/5j/ark+=13960=t45q4v85j/uc2.ark+=13960=t45q4v85j.json.bz2","vulgar",26
195,"mdp.39015063959897",1903,1903,1903,"notbest",326029,3641698,"Seawell, Molly Elliot","Indianapolis;The Bobbs-Merrill company;1903",,"The fortunes of Fifi",1860,"f","us",,,"mdp/pairtree_root/39/01/50/63/95/98/97/39015063959897/mdp.39015063959897.json.bz2","elite",45
196,"njp.32101063581076",1908,1908,1908,"notbest",,,"Jacobs, W. W","London;Methuen;1908.",,"Salthaven",1863,"m","uk",,,"njp/pairtree_root/32/10/10/63/58/10/76/32101063581076/njp.32101063581076.json.bz2","vulgar",89
197,"uc2.ark+=13960=t5gb1xz8x",1902,1902,1902,"notbest",201366,645936,"Crawford, F. Marion","New York;London;The Macmillan company;1902.",,"Cecilia;",1854,"m","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/5g/b1/xz/8x/ark+=13960=t5gb1xz8x/uc2.ark+=13960=t5gb1xz8x.json.bz2","elite",306
199,"nyp.33433074876156",1903,1903,1903,"notbest",,,"MacGregor, Hector","Chicago;New York;Toronto, etc.;Fleming H. Revell Company;1903].",,"The souter's lamp",,,,,,"nyp/pairtree_root/33/43/30/74/87/61/56/33433074876156/nyp.33433074876156.json.bz2","vulgar",1
200,"nyp.33433075749295",1902,1902,,"notbest",,,"Overstolz, Marie Emelie von","St. Louis;Great Western Printing Co.;1902.",,"Tante Phil's fairy stories",,,,,,"nyp/pairtree_root/33/43/30/75/74/92/95/33433075749295/nyp.33433075749295.json.bz2","vulgar",1
201,"nyp.33433075723480",1903,1903,,"notbest",,,"Rogers, Robert L","New York;F. T. Neely;c1903",,"Tom Johnson",,,,,,"nyp/pairtree_root/33/43/30/75/72/34/80/33433075723480/nyp.33433075723480.json.bz2","vulgar",2
202,"uc1.31158005332662",1902,1902,1902,"notbest",630220,1159622,"London, Jack","New York;London;The Macmillan company;1902.",,"Children of the frost",1876,"m","us",,,"uc1/pairtree_root/31/15/80/05/33/26/62/31158005332662/uc1.31158005332662.json.bz2","elite",171
203,"uc2.ark+=13960=t2794116w",1902,1902,1902,"notbest",7647490,7117376,"Foote, Mary Hallock","Boston;New York;Houghton, Mifflin and Company;1902.",,"The desert and the sown",1847,"f","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/27/94/11/6w/ark+=13960=t2794116w/uc2.ark+=13960=t2794116w.json.bz2","elite",24
204,"mdp.39015030017886",1924,1913,1913,"notbest",1200361,,"Bojer, Johan","New York & London|The Century co.|c1924",,"The Prisoner Who Sang",1872,"m","no",,,"mdp/pairtree_root/39/01/50/30/01/78/86/39015030017886/mdp.39015030017886.json.bz2","elite",42
205,"nyp.33433074815576",1913,1913,1913,"notbest",6084806,2407526,"Bullard, Arthur","New York;The Macmillan Company;1913.",,"Comrade Yetta",1879,"m","us",,,"nyp/pairtree_root/33/43/30/74/81/55/76/33433074815576/nyp.33433074815576.json.bz2","elite",8
206,"mdp.39015019967010",1924,1919,1919,"notbest",,,"Bergman, Hjalmar","New York|A. A. Knopf|1924.",,"God's orchid;",1883,"m","sw",,,"mdp/pairtree_root/39/01/50/19/96/70/10/39015019967010/mdp.39015019967010.json.bz2","vulgar",1
207,"nyp.33433076089220",1912,1912,1912,"notbest",8659769,11342982,"Kennedy, Sidney R","New York;The Macmillan Company;1912.",,"White ashes",1875,"m",,,,"nyp/pairtree_root/33/43/30/76/08/92/20/33433076089220/nyp.33433076089220.json.bz2","elite",3
208,"nnc1.cr61143707",1914,1912,1912,"notbest",8417628,9491500,"Davis, William Stearns","New York;Macmillan;c1912",,"The friar of Wittenberg",1877,"m","us",,,"nnc1/pairtree_root/cr/61/14/37/07/cr61143707/nnc1.cr61143707.json.bz2","elite",12
209,"nyp.33433074935077",1918,1917,1917,"notbest",8663956,2571956,"Cannan, Gilbert","New York;George H. Doran Company;c1918",,"The stucco house",1884,"m","uk",,,"nyp/pairtree_root/33/43/30/74/93/50/77/33433074935077/nyp.33433074935077.json.bz2","elite",29
210,"uc1.b3346792",1911,1911,1911,"notbest",7926163,8933662,"Gibbon, Perceval","London;Methuen;1911.",,"Margaret Harding",1879,"m","za",,,"uc1/pairtree_root/b3/34/67/92/b3346792/uc1.b3346792.json.bz2","elite",8
211,"uc2.ark+=13960=t8cf9kp28",1919,1919,1919,"notbest",626210,,"Cabell, James Branch ","New York, R. M. McBride & co.;1919.",,"Jurgen: A Comedy of Justice",1879,"m","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/8c/f9/kp/28/ark+=13960=t8cf9kp28/uc2.ark+=13960=t8cf9kp28.json.bz2","elite",68
212,"mdp.39015030750981",1913,1913,1913,"notbest",436645,1043521,"Herrick, Robert","New York;The Macmillan company;1913.",,"One woman's life",1868,"u","us",,,"mdp/pairtree_root/39/01/50/30/75/09/81/39015030750981/mdp.39015030750981.json.bz2","elite",59
213,"nyp.33433074865779",1916,1916,1916,"notbest",,,"Howells, William Dean","New York;The Century Co.;1916.",,"The Leatherwood god",1837,"m","us",,,"nyp/pairtree_root/33/43/30/74/86/57/79/33433074865779/nyp.33433074865779.json.bz2","vulgar",327
214,"mdp.39015002714957",1919,1919,1919,"notbest",1377262,,"Richardson, Dorothy M","London;Duckworth;1919",,"The Tunnel",1873,"f","uk",,,"mdp/pairtree_root/39/01/50/02/71/49/57/39015002714957/mdp.39015002714957.json.bz2","elite",2
215,"uc2.ark+=13960=t57d2zz9q",1918,1918,,"notbest",,,"Stockton, Frank R","New York;C. Scribner's Sons;1918.",,"The story of Viteau",1834,"m","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/57/d2/zz/9q/ark+=13960=t57d2zz9q/uc2.ark+=13960=t57d2zz9q.json.bz2","vulgar",120
216,"mdp.39015011506139",1918,1916,1916,"notbest",538555,1171210,"Lewis, Wyndham","London;The Egoist;1918.",,"Tarr",1882,"m","uk",,,"mdp/pairtree_root/39/01/50/11/50/61/39/39015011506139/mdp.39015011506139.json.bz2","elite",16
217,"uc2.ark+=13960=t9n29rc1s",1913,1913,1913,"notbest",7660255,24930545,"Goldie, V","New York;F.A. Stokes;c1913.",,"The declension of Henry D'Albiac",1873,"m","uk","Valentine Goldie Taubman",,"uc2/pairtree_root/ar/k+/=1/39/60/=t/9n/29/rc/1s/ark+=13960=t9n29rc1s/uc2.ark+=13960=t9n29rc1s.json.bz2","elite",3
218,"uc2.ark+=13960=t58c9t183",1919,1919,1919,"notbest",,,"Watson, Robert","New York;George H. Doran Company;c1919",,"The girl of O. K. Valley",0,"m","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/58/c9/t1/83/ark+=13960=t58c9t183/uc2.ark+=13960=t58c9t183.json.bz2","vulgar",3
219,"mdp.39015059447527",1913,1913,,"notbest",,,"Comfort, Will Levington","Philadelphia;London;J. B. Lippincott company;1913.",,"The road of living men;",1878,"m","us",,,"mdp/pairtree_root/39/01/50/59/44/75/27/39015059447527/mdp.39015059447527.json.bz2","vulgar",28
220,"mdp.39015063550324",1913,1913,,"notbest",,,"Harrison, Henry","Boston;New York;Houghton Mifflin company;1913.",,"V V's eyes",1880,"m","us",,,"mdp/pairtree_root/39/01/50/63/55/03/24/39015063550324/mdp.39015063550324.json.bz2","vulgar",0
221,"nyp.33433074919584",1912,1912,1912,"notbest",8664028,1821609,"Alexander, Mirian","New York;London;G. P. Putnam's sons;1912.",,"Beyond the law",1879,"f","uk",,,"nyp/pairtree_root/33/43/30/74/91/95/84/33433074919584/nyp.33433074919584.json.bz2","elite",1
222,"uc1.b3123461",1911,1911,1911,"notbest",,,"<blank>","New York;Funk & Wagnalls Co.;c1911.",,"The Wit and humor of America",,,"us",,,"uc1/pairtree_root/b3/12/34/61/b3123461/uc1.b3123461.json.bz2","vulgar",0
223,"mdp.39015030755501",1919,1919,1919,"notbest",559347,,"Johnston, Sir Harry","New York;The Macmillan company;1919.",,"The Gay-Dombeys",1858,"m","uk",,,"mdp/pairtree_root/39/01/50/30/75/55/01/39015030755501/mdp.39015030755501.json.bz2","elite",15
224,"uc2.ark+=13960=t8qb9wx9k",1910,1910,1910,"notbest",633758,8141507,"James, Winifred","Boston;New York;Houghton Mifflin company;1910.",,"Letters to my son",1875,"f","au",,"might be autobiographical -- but heavily fictionalized","uc2/pairtree_root/ar/k+/=1/39/60/=t/8q/b9/wx/9k/ark+=13960=t8qb9wx9k/uc2.ark+=13960=t8qb9wx9k.json.bz2","elite",4
225,"uc2.ark+=13960=t8v982h89",1913,1913,1913,"notbest",7649600,1847523,"Snaith, J. C","Garden City, New York;Doubleday, Page & co.;1913.",,"An affair of state",1876,"m","uk",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/8v/98/2h/89/ark+=13960=t8v982h89/uc2.ark+=13960=t8v982h89.json.bz2","elite",23
226,"uc2.ark+=13960=t5r787t41",1917,1917,1917,"notbest",7313634,7477745,"Richardson, Dorothy M","New York;Knopf;1917.",,"Backwater",1873,"f","uk",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/5r/78/7t/41/ark+=13960=t5r787t41/uc2.ark+=13960=t5r787t41.json.bz2","elite",16
227,"uc2.ark+=13960=t1qf91x3f",1913,1913,1914,"notbest",7700897,2461814,"Mackenzie, Compton","London;M. Secker;1913-14.","v.2","Sinister street",1883,"m","uk",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/1q/f9/1x/3f/ark+=13960=t1qf91x3f/uc2.ark+=13960=t1qf91x3f.json.bz2","elite",38
228,"uc2.ark+=13960=t4zg6jp9m",1917,1917,1917,"notbest",391772,6857018,"Goldring, Douglas","Dublin;London;Maunsel & company, ltd.;1917.",,"The fortune;",1887,"m","uk",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/4z/g6/jp/9m/ark+=13960=t4zg6jp9m/uc2.ark+=13960=t4zg6jp9m.json.bz2","elite",10
229,"mdp.39015063739802",1919,1919,1919,"notbest",,,"Andrews, Mary Raymond Shipman","New York;Scribner;1919.",,"Joy in the morning",1860,"f","us",,,"mdp/pairtree_root/39/01/50/63/73/98/02/39015063739802/mdp.39015063739802.json.bz2","vulgar",54
230,"nyp.33433074863766",1916,1916,1916,"notbest",8665452,2613388,"Joyce, James","New York;Viking Press & B.W. Huebsch;c1916.",,"A portrait of the artist as a young man",1882,"m","ir",,,"nyp/pairtree_root/33/43/30/74/86/37/66/33433074863766/nyp.33433074863766.json.bz2","elite",8
231,"nyp.33433076076334",1914,1914,,"notbest",,,"Hartman, Lee Foster","New York;London;Harper & Brothers;1914.",,"The white sapphire;",1879,"m","us",,,"nyp/pairtree_root/33/43/30/76/07/63/34/33433076076334/nyp.33433076076334.json.bz2","vulgar",1
232,"uc2.ark+=13960=t26971c28",1913,1913,1913,"notbest",,,"Holmes, Richard S","New York;Chicago;Toronto;London;Edinburgh;Fleming H. Revell Company;1913.",,"Bradford Horton: Man",1842,"m","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/26/97/1c/28/ark+=13960=t26971c28/uc2.ark+=13960=t26971c28.json.bz2","vulgar",5
233,"uc2.ark+=13960=t1cj87x20",1913,1913,,"notbest",,,"Bower, B. M","Toronto;The Copp, Clark Co.;1913.",,"The gringos",1871,"f","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/1c/j8/7x/20/ark+=13960=t1cj87x20/uc2.ark+=13960=t1cj87x20.json.bz2","vulgar",42
234,"loc.ark+=13960=t5gb2z75v",1913,1913,,"notbest",,,"Grayson, David","Garden City, N.Y.;Doubleday, Page & company;1913.",,"The friendly road",1870,"m","us",,,"loc/pairtree_root/ar/k+/=1/39/60/=t/5g/b2/z7/5v/ark+=13960=t5gb2z75v/loc.ark+=13960=t5gb2z75v.json.bz2","vulgar",15
235,"nyp.33433074943097",1919,1919,1919,"notbest",,,"Comstock, Sarah","Garden City, New York;Doubleday, Page & company;1919.",,"The valley of vision",0,"f","us",,,"nyp/pairtree_root/33/43/30/74/94/30/97/33433074943097/nyp.33433074943097.json.bz2","vulgar",3
236,"uc2.ark+=13960=t6057f51x",1917,1917,,"notbest",,,"Rhodes, Eugene Manlove","New York;The H.K. Fly Company;c1917.",,"West is west",1869,"m","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/60/57/f5/1x/ark+=13960=t6057f51x/uc2.ark+=13960=t6057f51x.json.bz2","vulgar",21
237,"nyp.33433076051329",1912,1912,,"notbest",,,"Maniates, Belle Kanaris","Chicago;New York;Rand, McNally & company;c1912",,"David Dunne;",,"f","ca",,,"nyp/pairtree_root/33/43/30/76/05/13/29/33433076051329/nyp.33433076051329.json.bz2","vulgar",13
238,"loc.ark+=13960=t7jq1gh0t",1918,1918,1918,"notbest",,,"Krunich, Milutin","Boston;New York;Houghton Mifflin Company;1918.",,"Serbia crucified;",1893,"m","serbian",,"though material is historical, this is genuinely fiction","loc/pairtree_root/ar/k+/=1/39/60/=t/7j/q1/gh/0t/ark+=13960=t7jq1gh0t/loc.ark+=13960=t7jq1gh0t.json.bz2","vulgar",6
239,"uc2.ark+=13960=t94748z1s",1920,1919,1919,"notbest",,,"Jacobs, W. W","New York;C. Scribner's Sons;1920, c1919.",,"Deep waters",1863,"m","uk",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/94/74/8z/1s/ark+=13960=t94748z1s/uc2.ark+=13960=t94748z1s.json.bz2","vulgar",1
240,"nyp.33433074920772",1919,1919,1919,"notbest",,,"Bailey, H. C. (Henry Christopher)","New York;E.P. Dutton;c1919",,"The gamesters",1878,"m","uk",,,"nyp/pairtree_root/33/43/30/74/92/07/72/33433074920772/nyp.33433074920772.json.bz2","vulgar",21
241,"nyp.33433074864434",1917,1917,,"notbest",,,"Gorell, Ronald Gorell Barnes","New York;London [etc.;Longmans, Green and Co.;1917.",,"In the night",1884,"m","uk",,,"nyp/pairtree_root/33/43/30/74/86/44/34/33433074864434/nyp.33433074864434.json.bz2","vulgar",1
242,"nyp.33433074929450",1913,1913,,"notbest",,,"Brebner, Percy James","Boston;Little, Brown and company;1913.",,"The little gray shoe;",1864,"m","uk",,,"nyp/pairtree_root/33/43/30/74/92/94/50/33433074929450/nyp.33433074929450.json.bz2","vulgar",13
243,"miun.aat2524,0001,001",1929,1929,1929,"notbest",168287,,"Larsen, Nella",,,"Passing",1891,"m","us",,,"miun/pairtree_root/aa/t2/52/4,/00/01/,0/01/aat2524,0001,001/miun.aat2524,0001,001.json.bz2","elite",1
244,"uc1.b3325193",1926,1926,1926,"notbest",,,"Lynde, Francis","New York|C. Scribner's sons|1926.",,"The tenderfoots, | $c: by Francis Lynde.",1856,"m","us",,,"uc1/pairtree_root/b3/32/51/93/b3325193/uc1.b3325193.json.bz2","vulgar",40
245,"mdp.39015066053193",1923,1923,1923,"notbest",381914,,"Anderson, Sherwood","New York|B. W. Huebsch, inc.|1923.",,"Many Marriages",1876,"m","us",,,"mdp/pairtree_root/39/01/50/66/05/31/93/39015066053193/mdp.39015066053193.json.bz2","elite",34
246,"mdp.39015030751815",1927,1927,1927,"notbest",,,"Loeb, Harold","New York|Boni & Liveright|1927.",,"The professors like vodka | $c: [by] Harold Loeb.",1891,"m","us",,,"mdp/pairtree_root/39/01/50/30/75/18/15/39015030751815/mdp.39015030751815.json.bz2","vulgar",2
247,"uc1.$b322811",1927,1927,1927,"notbest",475046,,"Boyd, James","New York|C. Scribner's Sons|1927.",,"Marching On",1888,"m","us",,,"uc1/pairtree_root/$b/32/28/11/$b322811/uc1.$b322811.json.bz2","elite",14
248,"mdp.39015063918554",1925,1925,1925,"notbest",,,"Eiker, Mathilde","New York|The Macmillan company|1925.",,"Mrs. Mason's daughters, | $c: by Mathilde Eiker.",1893,"f","us",,,"mdp/pairtree_root/39/01/50/63/91/85/54/39015063918554/mdp.39015063918554.json.bz2","vulgar",4
249,"mdp.39015063918257",1924,1924,1924,"notbest",,,"Fletcher, J. S. (Joseph Smith)","New York|Grosset & Dunlap|c1925",,"The mill of many windows, | $c: by J. S. Fletcher.",1863,"m","uk",,,"mdp/pairtree_root/39/01/50/63/91/82/57/39015063918257/mdp.39015063918257.json.bz2","vulgar",45
250,"nyp.33433074823026",1921,1921,1921,"notbest",,,"Bardeen, C. W. (Charles William)","Syracuse, N.Y.;C.W. Bardeen Publisher;c1921.",,"Castiron Culver",1847,"m","us",,,"nyp/pairtree_root/33/43/30/74/82/30/26/33433074823026/nyp.33433074823026.json.bz2","vulgar",9
251,"osu.32435054215884",1923,1923,1923,"notbest",,,"Coverdale, Harry","New York|A. L. Burt|c1923.",,"The unknown seven : | a detective story / | $c: by Harry Coverdale.",0,"m","us",,,"osu/pairtree_root/32/43/50/54/21/58/84/32435054215884/osu.32435054215884.json.bz2","vulgar",1
252,"mdp.39015071596954",1927,1927,1927,"notbest",,,"Detzer, Karl","Indianapolis|Bobbs-Merrill|c1927.",,"The marked man : | a romance of the Great Lakes / | $c: by Karl W. Detzer ...",1891,"m","us",,,"mdp/pairtree_root/39/01/50/71/59/69/54/39015071596954/mdp.39015071596954.json.bz2","vulgar",6
253,"mdp.39015024086434",1923,1923,1923,"notbest",1031354,,"Hawes, Charles Boardman ",,,"The Dark Frigate: wherein is told the story of Philip Marsham who lived in the time of King Charles and was bred a sailor but came home to England after many hazards by sea and land and fought for the King at Newbury and lost a great inheritance and departed for Barbados in the same ship, by curious chance, in which he had long adventured with the pirates",1889,"m","us",,,"mdp/pairtree_root/39/01/50/24/08/64/34/39015024086434/mdp.39015024086434.json.bz2","elite",5
254,"pst.000008245977",1927,1927,1927,"notbest",,,"Morrow, Honoré","New York|W. Morrow & Co.|c1927-1930].",,"Great captain : | three 'Lincoln' novels ... Forever free, With malice toward none, the Last full measure / | $c: by Honoré Morrow.",1880,"f","us",,,"pst/pairtree_root/00/00/08/24/59/77/000008245977/pst.000008245977.json.bz2","vulgar",8
255,"nyp.33433076083645",1922,1922,1922,"notbest",8589665,,"Gabriel, Gilbert W","New York;George H. Doran Company;c1922].",,"Jiminy",1890,"m","us",,,"nyp/pairtree_root/33/43/30/76/08/36/45/33433076083645/nyp.33433076083645.json.bz2","elite",4
256,"uc1.$b312650",1928,1927,1927,"notbest",,,"Thompson, Edward John","New York|Harcourt, Brace and company|c1928",,"These men, thy friends, | $c: by Edward Thompson.",1886,"m","uk",,,"uc1/pairtree_root/$b/31/26/50/$b312650/uc1.$b312650.json.bz2","vulgar",9
257,"mdp.39015048708674",1928,1928,1928,"notbest",,,"[Champneys, Adelaide]","Indianapolis|The Bobbe-Merrill company|1928",,"November night.",1888,"f","uk",,,"mdp/pairtree_root/39/01/50/48/70/86/74/39015048708674/mdp.39015048708674.json.bz2","vulgar",2
258,"mdp.39015032013263",1926,1926,1926,"notbest",,,"Hormel, Olive Deane","New York|C. Scribner's sons|1926.",,"Co-ed, | $c: by Olive Deane Hormel.",0,"f","us",,,"mdp/pairtree_root/39/01/50/32/01/32/63/39015032013263/mdp.39015032013263.json.bz2","vulgar",1
259,"uc1.$b300995",1926,1926,1926,"notbest",482187,,"Jameson, Storm","New York|A. A. Knopf|1926.",,"Three Kingdoms",1891,"f","uk",,,"uc1/pairtree_root/$b/30/09/95/$b300995/uc1.$b300995.json.bz2","elite",37
260,"mdp.39015063547288",1933,1928,1928,"notbest",286637,,"Freeman Wills Crofts","London [etc.|W. Collins sons & co., ltd.|1933",,"The Sea Mystery, an Inspector French Case",1879,"m","uk",,,"mdp/pairtree_root/39/01/50/63/54/72/88/39015063547288/mdp.39015063547288.json.bz2","elite",16
261,"uc2.ark+=13960=t8gf0p99g",1920,1920,1920,"notbest",390085,,"Frank, Waldo","New York;Boni & Liveright;c1920",,"The Dark Mother",1889,"m","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/8g/f0/p9/9g/ark+=13960=t8gf0p99g/uc2.ark+=13960=t8gf0p99g.json.bz2","elite",18
262,"pst.000006180706",1922,1921,1921,"notbest",12290092,,"Stribling, T.S",,,"Birthright",1881,"m","us",,,"pst/pairtree_root/00/00/06/18/07/06/000006180706/pst.000006180706.json.bz2","elite",0
263,"uc1.$b302196",1928,1928,1928,"notbest",,,"Parry, Edward Abbott, Sir","London|W. Heinemann, limited|1928",,"Berrington; | or, Two hundred years ago, | $c: by His Honour Sir Edward Abbott Parry.",1863,"m","uk",,,"uc1/pairtree_root/$b/30/21/96/$b302196/uc1.$b302196.json.bz2","vulgar",1
264,"nyp.33433074881081",1921,1921,1921,"notbest",630615,,"Marshall, Archibald","New York;Dodd, Mead and company;1921.",,"The Hall and the Grange",1866,"m","uk",,,"nyp/pairtree_root/33/43/30/74/88/10/81/33433074881081/nyp.33433074881081.json.bz2","elite",86
265,"umn.31951002120639r",1931,1926,1926,"notbest",,,"Tracy, Louis","New York|E.J. Clode, inc.|1931.",,"His unknown wife : | The turning point ; The wheel o' fortune.",1863,"m","uk",,,"umn/pairtree_root/31/95/10/02/12/06/39/r/31951002120639r/umn.31951002120639r.json.bz2","vulgar",53
266,"umn.31951d001342781",1926,1925,1925,"notbest",7474146,,"Dreiser, Theodore","New York|The Sun Dial Press|c1926",,"An American Tragedy",1871,"m","us",,,"umn/pairtree_root/31/95/1d/00/13/42/78/1/31951d001342781/umn.31951d001342781.json.bz2","elite",61
267,"uc1.$b243910",1923,1923,1923,"notbest",6498438,,"Kaye-Smith, Sheila","New York|E.P. Dutton & Company|c1923",,"The End of the House of Alard",1887,"f","uk",,,"uc1/pairtree_root/$b/24/39/10/$b243910/uc1.$b243910.json.bz2","elite",60
268,"nyp.33433074800677",1922,1922,1922,"notbest",,,"Barnett, Ada","New York;Dodd, Mead and Company;1922.",,"The man on the other side",0,"f","us",,,"nyp/pairtree_root/33/43/30/74/80/06/77/33433074800677/nyp.33433074800677.json.bz2","vulgar",1
269,"uc1.$b56977",1925,1925,1925,"notbest",10109919,,"Lubbock, Percy","London|Jonathan Cape|1925",,"The Region Cloud",1879,"m","uk",,,"uc1/pairtree_root/$b/56/97/7/$b56977/uc1.$b56977.json.bz2","elite",8
270,"uc2.ark+=13960=t17m0b24d",1922,1922,1922,"notbest",,,"Brighouse, Harold","New York;McBride;c1922.",,"Hepplestall's",1882,"m","uk",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/17/m0/b2/4d/ark+=13960=t17m0b24d/uc2.ark+=13960=t17m0b24d.json.bz2","vulgar",4
271,"uc1.$b323595",1927,1927,1927,"notbest",,,"Collins, Dale","Boston|Little|c1927.",,"The sentimentalists / | $c: by Dale Collins.",1897,"m","au",,,"uc1/pairtree_root/$b/32/35/95/$b323595/uc1.$b323595.json.bz2","vulgar",12
272,"uc1.$b312450",1923,1922,1922,"notbest",6541441,,"Sanborn, Gertrude",,,"Veiled Aristocrats",1881,"f","us",,,"uc1/pairtree_root/$b/31/24/50/$b312450/uc1.$b312450.json.bz2","elite",3
273,"nyp.33433074920640",1921,1921,1921,"notbest",,,"Ayres, Ruby M. (Ruby Mildred)","New York;W.J. Watt & Company;c1921",,"The marriage of Barry Wicklow",1881,"f","uk",,,"nyp/pairtree_root/33/43/30/74/92/06/40/33433074920640/nyp.33433074920640.json.bz2","vulgar",13
274,"mdp.39015022200417",1925,1924,1924,"notbest",538765,,"Macaulay, Rose",,,"Orphan Island",1881,"f","uk",,,"mdp/pairtree_root/39/01/50/22/20/04/17/39015022200417/mdp.39015022200417.json.bz2","elite",22
