docid,author,realname,pseudonym,gender,nationality,authordate,inferreddate,firstpub,latestcomp,allcopiesofwork,copiesin25yrs,enumcron,imprint,genres,subjects,shorttitle,category
mdp.39015039792554,"Bird, Robert Montgomery",,,m,us,1806-1854.,1837,,1837,5,5,v.3,London;R. Bentley;1837.,Fiction,Frontier and pioneer life,Nick of the woods; a story of Kentucky,novel
uc2.ark+=13960=t5k933b88,,,,u,,,1846,,1846,1,1,,"London;Simpkin, Marshall;",,,"The round preacher, or, Reminiscences of Methodist circuit life",novel
uiuo.ark+=13960=t6sx6jk7s,"Ainsworth, William Harrison",,,m,uk,1805-1882.,1874,,1874,3,3,v.2,Leipzig;B. Tauchnitz;1874,,"Tyler, Wat|d. 1381|Fictio",Merry England,novel
wu.89098879935,"Phillips, Mary Geisler",,,f,,1881-1964.,1926,,1926,2,2,,Philadelphia|Macrae Smith,Juvenile audience|Fiction,Folklore|Bees,Honey bees and fairy dust,juvenile
mdp.39015022067816,"Banks, Russell",,,m,us,1940-,1991,,1991,1,1,,"New York, NY|HarperCollin",Fiction,,The sweet hereafter : a novel,novel
wu.89098860778,"King, Katharine",,,f,,,1872,,1872,1,1,,Boston;J. R. Osgood;1872.,NotFiction,,Ethel Mildmay's follies : a story,novel
mdp.39015056287512,"Egerton, Frank",,,m,uk,b. 1959,2003,,2003,1,1,,Gwynedd|Smaller Sky|2003.,Novel,Sexual behavior|Adultery|,The lock,novel
nyp.33433075752224,"Steele, Anna C. (Anna Caroline)",,,f,uk,1841-1920,1867,,1867,2,2,v. 2,London;Chapman & Hall;186,Fiction,English fiction,Gardenhurst,novel
wu.89098868185,"Baker, Josephine R",,,f,us,1810-1864,1879,,1879,1,1,,Boston;H. Hoyt;1879.,NotFiction,,Calvin the sinner,novel
inu.39000001112445,"Nzekwe, Amaechi",,,m,,,1985,,1985,1,1,,"Enugu, Nigeria|Fourth Dim",Fiction,,A killer on the loose,novel
uc1.$b252040,"Taaffe, Michael",,,m,,,1963,,1963,1,1,,London|Putnam|1963,Fiction,,The dark glass,novel
nyp.33433075728604,"Fletcher, J. S. (Joseph Smith)",,,m,uk,1863-1935.,1921,1900,1921,3,3,,New York;A. A. Knopf;1921,Fiction,,The Herapath property,novel
inu.30000112128651,"Chernaik, Judith",,,f,us,b. 1934,1987,,1987,1,1,,London|Macmillan|1987.,Fiction,,Leah,novel
mdp.39015030948247,"Brown, Hilton","Brown, Charles Hilton","Brown, Hilton",m,uk,1890-1961,1933,,1933,1,1,,Calcutta|Art Press|1923.,Fiction,,Maya; some more South Indian stories,shortstories
nyp.33433082531827,"Eddy, Daniel C. (Daniel Clarke)","Eddy, Daniel Clarke",,m,us,1823-1896.,1864,,1864,1,1,,"New York;Sheldon;1868, c1",Juvenile audience|Fiction,Description and travel|Ch,Walter in Constantinople,juvenile
nyp.33433075861728,"Zangwill, Israel",,,m,uk,1864-1926.,1891,,1891,3,3,,New York;Brentano's;1891.,Fiction,English fiction,The bachelors' club,novel
uc2.ark+=13960=t5bc3xz0x,,,,,,,1889,,1889,1,1,v.04,Edinburgh;W. Blackwood;18,,"Short stories, English","Tales from ""Blackwood.""",shortstories
nyp.33433067293880,"Edgeworth, Maria",,,m,ir,1767-1849.,1832,,1832,1,1,v. 11-12,New York;Printed and publ,NotFiction,,Tales and novels,novel
uc1.$b534058,"Kukrit Pramoj, M.R",,,m,th,1911-1995,1981,,1981,3,3,v.2,Bangkok|Duang Kamol|1981],Fiction,,Si phaendin = Four reigns,novel
njp.32101062081037,"St. John, Isabella, Lady",,,f,uk,1792-1875,1919,,1919,1,1,,London;John Lane;New York,NotFiction,"World War, 1914-1918|Pers",A journey in war-time,novel
inu.30000004013144,"Simchenko, I?Uri? Borisovich",,,m,ru,,1990,,1990,1,1,,Moscow|Progress Publisher,NotFiction,Nentsy|Russia (Federation,Winter trek,novel
hvd.hnp4pz,"Jones, Hannah Maria",,,f,uk,1784?-1854.,1827,,1827,1,1,,London;G. Virtue;1827.,Fiction,,"The strangers of the glen; or, The travellers benighted. A tale of mystery",novel
uva.x030581128,"Thackeray, William Makepeace",,,m,uk,1811-1863.,1878,,1863,1,1,v.13,"London;Smith, Elder & Co.",Fiction,,The works of William Makepeace Thackeray,shortstories
mdp.39015010757964,"Scoggin, Margaret Clara",,,f,us,1905-1968,1960,,1960,1,1,,New York|Knopf|1960.,NotFiction,Adventure and adventurers,Escapes and rescues,shortstories
mdp.39015063914355,"Beck, L. Adams (Lily Adams)","Moresby, Elizabeth Louisa","Beck, Lily Adams",f,uk,1862-1931,1925,1923,1923,2,2,,New York|Grosset & Dunlap,Fiction|ContainsBiogMater,"1708-1760|Bolton, Lavinia","The chaste Diana [a romance of ""The beggar's opera""]",novel
njp.32101064710914,"Pickering, Ellen",,,f,uk,1801-1843,1840,,1840,3,3,vol.2,London;T. & W. Boone;1840,Fiction,,The quiet husband,novel
uc1.$b662894,"Samarak?s, Ant?n?s",,,m,gk,1919-2003,1969,1965,1969,2,2,,New York|Weybright and Ta,Fiction,,The flaw; a novel,novel
uiuo.ark+=13960=t77s8c83f,"Wilkins, W. H. (William Henry)",,,m,uk,1860-1905.,1895,,1895,3,3,v.2,London;Hutchinson;1895.,,,The holy estate,novel
mdp.39015032933502,"Kondoleon, Harry",,,m,us,1955-1994,1994,,1993,1,1,,"New York|Knopf|1994, c199",Love stories|Fiction,Marriage|Fiction|New York,Diary of a lost boy : a novel,novel
inu.30000026037832,"Waweru, P. M",,,u,,,1990,,1990,1,1,,"Nairobi, Kenya|Longman Ke",Fiction,,Judy the nun,novel
hvd.hn3n5m,"Scott, Walter, Sir",,,m,uk,1771-1832.,1834,1815,1832,1,1,v.2,Boston;Samuel H. Parker;1,Fiction,,Waverley novels,novel
uc1.$b318498,"Vialar, Paul",,,m,fr,1898-1996.,1940,,1940,1,1,,"New York|Carrick & Evans,",Fiction,,Rose of the sea,novel
mdp.39015008687637,"Colegate, Isabel",,,f,uk,b. 1931,1980,,1980,1,1,,London|H. Hamilton|1980.,Fiction,,The shooting party,novel
uiuo.ark+=13960=t6xw5180p,"Macquoid, Katharine Sarah",,,f,uk,1824-1917,1876,,1876,3,3,v.1,London;1876.,,,Lost Rose. And other stories,shortstories
mdp.39015010684937,"Synge, J. M. (John Millington)","Synge, John Millington",,m,,1871-1909.,1911,,1909,1,1,,Dublin;Maunsel & co.;1911,UnknownGenre,,Four plays,drama
nyp.33433074859764,"Grogan, Mercy",,"Mackenzie, Erick",f,,,1862,,1862,1,1,,"London;Smith, Elder and C",Fiction,English fiction,"Highland lassies: or, The Roua pass",novel
nyp.33433074867163,"Jenkin, C. (Camilla)","Jenkin, Henrietta Camilla",,f,uk,1807-1885,1865,,1865,1,1,v. 1-2,Leipzig;B. Tauchnitz;1865,Fiction,,Once and again : a novel,novel
uiuo.ark+=13960=t3xs6cn46,,,,,,,1836,,1836,1,1,v.1,London;Chapman and Hall;1,,19th century|English fict,"The library of fiction, or, Family story-teller",shortstories
uiuo.ark+=13960=t10p1n63b,Duchess,"Hungerford, Margaret Wolfe",The Duchess,f,ir,1855?-1897.,1892,1891,1892,3,3,v.3,London;William Heinemann;,,,Nor wife nor maid,novel
mdp.39015002725656,"Ferber, Edna",,,f,us,1887-1968.,1952,,1952,1,1,,"Garden City, N.Y.|Doubled",Fiction,,Giant,novel
uc1.$b312438,"Sabin, Edwin L. (Edwin Legrand)","Sabin, Edwin Legrand",,m,us,1870-1952.,1924,,1924,2,2,,Philadelphia|G. W. Jacobs,Fiction,,The city of the sun,novel
mdp.39015063925013,"pseud. Mouldy, Malachi",,,m,,,1844,,1844,3,3,v.2,n. p.;1844.,Fiction,,"Stonehenge; or, The Romans in Britain, a romance or the days of Nero",novel
uiuo.ark+=13960=t16m3rx1z,,,,,,,1843,,1843,1,1,v.1,London;Saunders and Otley,,,Magic and mesmerism,novel
mdp.39015063573060,"Eaton, Charlotte A. (Charlotte Anne)",,,f,uk,1788-1859.,1826,,1826,6,6,v.2,Boston;Wells and Lilly;18,Fiction,,Continental adventures. A novel,novel
nyp.33433074911581,"Smith, Charlotte Turner",,,f,uk,1749-1806.,1800,,1800,1,1,v. 5,London;Printed by and for,Fiction,English fiction,The Hungarian (con't.) Leonora.  Guilelmine de Mortivalle,shortstories
mdp.39015055900172,"Burke, Sean",,,m,ir,1961-,2002,,2002,1,1,,London|Serpent's Tail|200,Fiction,Fiction,Deadwater,novel
nyp.33433084129984,"Barr, Amelia Edith Huddleston",,,f,uk,1831-1919.,1884,,1884,3,3,,"New York;Dodd, Mead;c1884",Fiction,,The Hallam succession,novel
hvd.hn5dj1,,,,u,,,1833,,1833,1,1,,"Salem, [Mass;Ives and Jew",Juvenile audience|Fiction,Nature study,"Woodland Cottage, or, Henry and Emma Acton's conversations to their children, on the animal and vegetable world",juvenile
uc1.$b106417,"Bridge, Ann","O�Malley, Mary Ann Dolling Sanders","Bridge, Ann",f,uk,1889-1974.,1946,1945,1946,2,2,,New York|Macmillan|1946.,Fiction,,Singing waters,novel
uc2.ark+=13960=t6nz8711v,"Kuprin, A. I. (Aleksandr Ivanovich)",,,m,ru,1870-1938.,1907,,1907,1,1,,London;Everett & Coy;1907,,,In honour's name,novel
coo.31924013204718,,"Sergeant, Adeline",,f,uk,1851-1904,1892,,1892,1,1,,Leipzig;B. Tauchnitz;1892,NotFiction,,"The story of a penitent soul, being the private papers of Mr. Stephen Dart, late minister at Lynnbridge in the county of Lincoln",novel
nyp.33433074921101,"James, G. P. R. (George Payne Rainsford)",,,m,uk,1799-1860.,1847,,1847,5,5,,Leipzig;B. Tauchnitz jun.,Fiction|NotFiction,English fiction,"A whim, and its consequences",novel
njp.32101063604563,"Mudge, Zachariah Atwell",,,m,us,1813-1888.,1857,,1857,2,2,,"Boston;Degen & Estes, 23 ",Juvenile audience|NotFict,,"A will, and a way :  or, The boy in the city",juvenile
mdp.39076002787351,"Morrison, Toni",,,f,us,b. 1931,2008,,2008,1,1,,New York|Knopf|2008.,Fiction|Historical fictio,Fiction|Interracial adopt,A mercy,novel
uc1.b4363708,,Ch'oe Ch?ng-h?i,,f,ko,1912-1990,1983,,1983,1,1,,"Seoul, Korea|Si-sa-yong-o",Fiction,1912-|Social life and cus,The cry of the harp and other Korean short stories,shortstories
mdp.39015063947256,"Oppenheim, E. Phillips (Edward Phillips)",,,m,uk,1866-1946.,1903,,1903,4,4,,"New York;Dodd, Mead & com",Fiction,English fiction,The traitors,novel
mdp.39015031309894,"Stevenson, Robert Louis",,,m,uk,1850-1894.,1898,,1894,1,1,,London;Chatto & Windus;18,UnknownGenre,,The Stevenson reader; selected passages from the works of Robert Louis Stevenson,shortstories
dul1.ark+=13960=t7rn3x266,"Martineau, Harriet",,,f,uk,1802-1876.,1831,,1831,2,2,,London;Printed for Harvey,Fiction,Young women|Selfishness|G,"Five years of youth, or, Sense and sentiment",novel
nyp.33433074888862,"Lister, T. H. $q (Thomas Henry)","Lister, Thomas Henry",,m,uk,1800-1842.,1832,,1832,5,5,v. 1,New York;Harper;1832.,Fiction|NotFiction,,Arlington. A novel,novel
mdp.39015063092467,"Jacobs, A. J",,,m,us,1968-,1997,,1997,1,1,,New York|Bantam Books|199,Short stories,Fairy tales|Adaptations|H,Fractured fairy tales,shortstories
uc2.ark+=13960=t78s4m942,"La Motte-Fouqu??, Friedrich Heinrich Karl","Fouqu�, Friedrich de la Motte",,m,ger,1777-1843,1862,,1862,1,1,,New York;J. Miller;1862?,,,Thiodolf the Icelander,novel
njp.32101067630218,"Boyle, Frederick",,,m,uk,1841-1914,1885,,1885,6,6,v.3,London;Richard Bentley an,Fiction,,A good hater,novel
mdp.49015000587163,"Fisher, Dorothy Canfield",,,f,uk,1879-1958.,1915,,1915,9,7,,New York;H. Holt;1915.,Fiction|NotFiction,Young women|Middle West|A,The bent twig,novel
uiuo.ark+=13960=t3nv9vv41,"Harris, Alexander",,,m,au,1805-1874.,1849,,1849,3,3,v.1,"London;Smith, Elder and C",,,The emigrant family ;,novel
mdp.39015005871846,,,,u,,,1966,,1966,1,1,,New York|Platt & Munk|196,Short stories,,Sometimes magic : a collection of outstanding stories for the teenage girl,shortstories
uc1.b4218035,,,,u,,,1901,,1901,1,1,,"Los Angeles, Cal.;Sanders",NotFiction,American wit and humor|En,"Half-hours with great humorists : Artemus Ward, George Macdonald, Max Adeler, Samuel Lover and others",shortstories
loc.ark+=13960=t3rv0tr58,"Mortimer, Charlotte B",,,f,us,b. 1807,1858,,1858,1,1,,New York;Stanford & Delis,,Pennsylvania|Moravian Sem,Bethlehem and Bethlehem school,novel
uc1.b119856,"Bouv??, Pauline Carrington (Rust)","Bouv�, Pauline Carrington Rust",,f,us,1860-1928,1899,,1899,1,1,,"Boston;Small, Maynard;189",,"Southampton Insurrection,",Their shadows before ;,novel
mdp.39015058691281,,,,,,,1858,,1858,1,1,v.3,Edinburgh;London;W. Black,Fiction,,"Tales from ""Blackwood."" New series",shortstories
nyp.33433074880802,"Marsh-Caldwell, Anne",,,f,uk,1791-1874.,1856,,1856,7,7,v. 1-2,Leipzig;1856.,NotFiction,,Evelyn Marston;,novel
nyp.33433075861413,"Youngman, W. E",,,u,,,1874,,1874,1,1,,New York;D. & J. Sadlier ,Fiction,English fiction,"For husks, food",novel
uc2.ark+=13960=t4dn41w6n,"Dyer, Charles",,,m,,,1866,,1866,2,2,,London;Hurst and Blackett,,Hunting|Sports,Sport and sportsmen,novel
umn.31951002079614b,"Walker, Dorothy Carle Pierce",,,f,,,1941,,1941,1,1,,New York|Liveright publis,Bibliographies|NotFiction,,Satan came also,novel
mdp.39015015472114,"Paul, J. Ellis",,,u,,,1980,,1980,1,1,,Chicago|Quintessence Pub.,Bibliographies|NotFiction,"Dentistry, Operative|Dent",A manual of four-handed dentistry,nonfic
mdp.39015000219561,"McCarthy, Mary",,,f,us,1912-1989.,1971,,1971,4,4,,"New York|Harcourt, Brace,",Fiction|NotFiction,,Birds of America,novel
mdp.39015019851974,"Van Scyoc, Sydney J",,,f,us,b. 1939,1984,1983,1983,1,1,,New York|Berkley Pub. Gro,Fiction,,Bluesong,novel
uc1.b3148398,"Mofolo, Thomas",,,m,le,1876-1948.,1931,1925,1931,2,2,,London|Pub. for the Inter,Fiction,1787?-1828|Chaka|Fiction|,"Chaka, an historical romance",novel
uiuo.ark+=13960=t6c25fv7d,"Moore, Oliver",,,m,uk,,1831,,1831,3,3,v.1,London;Cochrane and Picke,,,The staff officer,novel
wu.89090070707,"Ryan, Cuthbert Denis",,,m,us,,1936,,1936,1,1,,1936,NotFiction,Art Education|Dissertatio,Wisconsin Indian legends,shortstories
njp.32101065704312,"Reade, William Winwood",,,m,uk,1838-1875.,1860,,1860,2,2,vol.3,London;C.J. Skeet;1860.,NotFiction,,"Liberty hall, Oxon",novel
uiuo.ark+=13960=t1jh3ts50,"Caddell, Cecilia Mary",,,f,uk,d. 1877.,1858,,1858,3,3,v.3,"London;T. Cautley Newby, ",,,Home & the homeless,novel
nnc1.1002281244,"Thomas, Frederick W. (Frederick William)","Thomas, Frederick William",,m,us,1806-1866.,1847,,1847,1,1,,Cincinnati;Robinson and J,NotFiction,,"Clinton Bradshaw ; or, The adventures of a lawyer. Two volumes in one",novel
uc1.$b254058,"Smith, H. Allen (Harry Allen)","Smith, Harry Allen Wolfgang",,m,us,1907-1976.,1945,,1945,1,1,,"Garden City, New York|Dou",NotFiction,American wit and humor,Desert island decameron,novel
uc1.b3796907,"Aminoff, L�onie",Aminoff. Constance L�onie Caroline,,f,fi,1870-1951,1938,,1938,1,1,,New York|Dutton|c1938.,Fiction,Napoleon|Fiction|1769-182,Retreat,novel
mdp.39076005013839,"Lytton, Edward Bulwer Lytton, Baron",,,m,uk,1803-1873.,1891,1830,1873,1,1,v.6,Boston;Dana Estes and Co.,Fiction,,Bulwer's novels,reprint
uc1.b3767284,"Beti, Mongo",,,m,cmr,1932-2001.,1960,,1960,4,4,,London|F. Muller|1960.,Fiction,,King Lazarus : a novel,novel
uiuo.ark+=13960=t3qv4352q,"Nares, Edward",,,m,uk,1762-1841.,1812,,1812,2,2,v.1,London;J. Johnston;1812.,,823N16I,"I says, says I;",novel
uc2.ark+=13960=t1ng4jr18,"Serl, Emma",,,f,us,1876-,1913,,1913,1,1,,Boston;Silver Burdett;191,,Readers,In the animal world,juvenile
nyp.33433074889829,"Drake, Nathan",,,m,uk,1766-1836.,1824,,1824,3,3,v. 1-2,London;T. Cadell;1824.,Fiction,In literature|1564-1616|S,"Noontide leisure, or, Sketches in summer : outlines from nature and imagination, and including a tale of the days of Shakspeare",shortstories
uc1.$b259847,"Couppey, Madeleine",,,f,fr,,1947,,1947,1,1,,New York|C. Scribner's So,NotFiction,Folklore|Animals,Rumor in the forest,novel
mdp.39015017460372,"Schultz, James Willard",,,m,us,1859-1947.,1907,,1907,3,2,,"Boston;New York;Houghton,",NotFiction,Indians of North America|,My life as an Indian; the story of a red woman and a white man in the lodges of the Blackfeet,novel
mdp.39015013130003,"Cunninghame Graham, R. B. (Robert Bontine)",,,m,uk,1852-1936.,1928,1927,1928,1,1,,London|W. Heinemann ltd.|,Fiction,,"Redeemed, and other sketches",novel
njp.32101073253682,,,,,,,1802,,1802,1,1,v.2,Edinburgh;Printed for the,NotFiction,,"Arabian Night's entertainments, consisting of one thousand and one stories, told by the sultaness of the Indies",reprint
uc1.b4020431,,,,,,,1923,,1923,1,1,v.16,London|The Casanova Socie,NotFiction,Arabian nights,The book of the thousand nights and one night : rendered  from the literal and complete version of Dr. J. C. Mardrus and collated with other sources,reprint
nyp.33433075736870,"Gessner, Salomon",,,m,,1730-1788.,1805,,1788,1,1,v. 2,London;Published by James,NotFiction,,"The works of Solomon Gessner; translated from the German. With notes, critical and explanatory, to which is prefixed, a copious memoir of the life of the author",reprint
mdp.39015029900688,,,,,,,1992,,1992,1,1,,"Yarmouth, ME|Intercultura",Bibliographies|NotFiction,Older African Americans|A,"Trials, tribulations, and celebrations : African-American perspectives on health, illness, aging, and loss",shortstories
uc2.ark+=13960=t7fq9vb7m,,,,,,,1830,,1830,1,1,v.3,London;Tegg;183-?,,,"The parterre; or, Universal story-teller",shortstories
nyp.33433067292569,"Lytton, Edward Bulwer Lytton, Baron",,,m,uk,1803-1873.,1870,,1870,1,1,v. 6,London;G. Routledge and S,Fiction,,Bulwer's novels,novel
njp.32101066755057,"Burney, Sarah Harriet",,,f,uk,1772-1844.,1812,,1812,13,13,vol.2,London;Printed for H.Colb,Fiction|NotFiction,,Traits of nature,novel
uc1.$b111291,"Levis, Ken",,,m,au,,1961,,1961,1,1,,Sydney|Angus and Robertso,NotFiction,Australian fiction,Caught from time; a selection of Australian prose,shortstories
mdp.39015053114891,"Garwood, Julie",,,f,us,,2001,,2001,1,1,,New York|Pocket Books|200,Fiction,Louisiana|Fiction|Lawyers,Mercy,novel
nyp.33433074927561,,,,,,,1820,,1820,1,1,"v. 46 (Udolpho, Radcliffe)",London;s.n.;1820.,NotFiction,English literature,"The British novelists; with an essay, and prefaces, biographical and critical",reprint
uiuo.ark+=13960=t7qn6s33c,"Strickland, Agnes",,,f,uk,1796-1874.,1865,,1865,3,3,v.3,London;R. Bentley;1865.,,,How will it end?,novel
nyp.33433076021819,"Spoth, John Charles",,,m,us,,1909,,1909,2,2,,"Boston, Mass.;The C. M. C",NotFiction,,A knight in homespun,novel
uiuo.ark+=13960=t39z9w75s,"Hook, Theodore Edward",,,m,uk,1788-1841.,1808,,1808,5,3,v.3,London;S. Tipper;1808.,Fiction,,The man of sorrow;,novel
mdp.39015013470565,,,,,,,1982,,1982,1,1,,New Delhi|Vikas Publishin,Fiction,Gujarati fiction|20th cen,Gujarati short stories : an anthology,shortstories
nyp.33433014569457,,,,,,,1901,,1901,1,1,v. 3,London;Printed for subscr,Fiction,,"Tales from the Arabic of the Breslau and Calcutta (1814-18) editions of the Book of the thousand nights and one night not occurring in the other printed texts of the work, now first done into English by John Payne",shortstories
uc2.ark+=13960=t7cr5nx2j,"Hobart, George V. (George Vere)",,,m,,1867-1926.,1901,,1901,1,1,,New York;G. W. Dillingham,,,Down the line with John Henry,novel
uc1.b4098261,"Gibson, Katharine",,,f,us,1893-1960,1954,,1954,1,1,,"New York|Longmans, Green|",Fiction,,To see the queen,juvenile
coo.31924013926278,"Fetter, Elizabeth (Head)",,,,,1904-,1957,,1957,1,1,,New York|Appleton-Century,NotFiction,Marriage,Help your husband stay alive,nonfic
mdp.39015049742607,"Hardy, James Earl",,,m,us,b. 1966,1997,,1997,1,1,,Los Angeles|Alyson Books|,Fiction,Fiction|Revenge|African A,If only for one nite,novel
mdp.39015019187809,"Cather, Willa",,,f,us,1873-1947.,1923,,1923,12,12,,New York|Grosset & Dunlap,Fiction|NotFiction,Social life and customs|F,A lost lady,novel
mdp.39015016452453,"Brown, Lloyd L. (Lloyd Louis)",,,m,us,1913-2003.,1951,,1951,1,1,,New York|Masses & Mainstr,Fiction,,"Iron City, a novel",novel
mdp.49015001330217,"Stone, Irving",,,m,us,1903-1989.,1957,1954,1957,1,1,,New York|Oxford Book Co.|,NotFiction,"1809-1865|Lincoln, Mary T",Love is eternal,novel
nnc1.0315059251,"Capt. Henderson, (George)",,,m,,,1811,,1811,1,1,,London;C. Baldwin;1811,NotFiction,Miskito Indians,"Sketches of the manners and customs of the Mosquito Indians, made during a short residence amongst them in the year 1804; preceded by the journal of a voyage to the Mosquito shore",novel
mdp.39015050155806,"Yglesias, Jose",,,m,us,1919-1995,1974,,1974,1,1,,"Houston, Tex.|Arte P�blic",Fiction,Nineteen sixties|Politici,Double double,novel
uc2.ark+=13960=t7qn60w4n,"Paxton, Philip",,,m,us,1816-1865.,1853,,1853,2,2,,New York;Redfield;1853.,,,A stray Yankee in Texas,novel
uiuo.ark+=13960=t5w66vw4h,,,,,,,1847,,1847,1,1,v.1,"London;Smith, Elder;1847.",,,"Harden Hall, or, The three proposals",novel
mdp.39015080879938,"Stock, Jon",,,m,uk,b. 1966,2009,,2009,1,1,,London|Blue Door|2009.,Novel|Spy stories,Great Britain|Terrorism|F,Dead spy running,novel
njp.32101079836654,"Carter, Mary Leland | Smith, Elbert A.",,,o,us, | 1871-1959,1908,,1908,1,1,,"Lamoni, Iowa;Herald Publi",Fiction,Mormons and Mormonism|Fic,An instrument in His hands,juvenile
nyp.33433074871561,"Keats, Gwendoline",,,f,uk,d. 1910,1903,,1903,2,2,,New York;Scribner's;1903.,Fiction,,The Roman road,novel
uc1.$b162834,"Berto, Giuseppe",,,m,it,1914-1978,1950,,1950,1,1,,"Norfolk, Conn.|New Direct",Fiction,,"The works of God, and other stories;",shortstories
nyp.33433074835434,"Benedict, Clare",,,f,us,1870-1961,1912,,1912,1,1,,Edinburgh;A. Elliot;1912.,Fiction,American fiction,European backgrounds,juvenile | shortstories
nyp.33433066579420,"Jouy, Etienne de","de Jouy, Victor-Joseph �tienne",,m,fr,1764-1846.,1818,,1818,1,1,v. 4,Paris;Pillet;1818-1827.,NotFiction,Social life and customs,"L'hermite en province : ou, Observations sur les m�urs et les usages franc?ais au commencement du XIXe sie?cle",novel
uc1.b3751296,Vercors,"Bruller, Jean",Vercors,m,fr,1902-1991.,1962,,1962,1,1,,New York|Putnam|1962,Fiction,,Sylva; a novel,novel
uc1.b3688166,"Grau, Shirley Ann",,,f,us,b. 1929,1971,,1971,1,1,,New York|Knopf|1971.,Fiction,,The condor passes,novel
uiuo.ark+=13960=t0cv5377g,"Hogg, James",,,m,uk,1770-1835.,1818,,1818,4,3,v.1,Edinburgh;Published for W,Fiction,Fiction|English fiction,The brownie of Bodsbeck,novel
uc2.ark+=13960=t7fq9rm4h,"Arthur, T. S. (Timothy Shay)","Arthur, Timothy Shay",,m,us,1809-1885.,1852,,1852,2,2,,"Philadelphia;Lippincott, ",,,The lost children,shortstories
uc1.$b244080,"Paul, Elliot",,,m,us,1891-1958.,1929,,1929,1,1,,"New York|H. Liveright, in",NotFiction,,Low run tide and Lava rook,novel
nyp.33433082547609,,"Drury, Robert",,m,uk,1687-c. 1750,1826,,1826,2,2,v. 5 (Robert Drury),London;Printed for Hunt a,NotFiction,"Hume, David|1711-1776|160","Autobiography, a collection of the most instructive and amusing lives ever published",reprint
mdp.39015016450325,Bryher,"Ellerman, Annie Winifred",Bryher,m,uk,1894-1983.,1952,,1952,1,1,,New York|Pantheon Books|1,Fiction,,"The fourteenth of October, a novel",novel
mdp.39015003740944,,,,,,,1934,,1934,3,3,,New York|Cincinnati|Ameri,NotFiction,Short stories|Short stori,A book of the short story,shortstories
nnc1.1002318440,"Jennings, Hargrave",,,m,uk,1817-1890.,1870,,1870,2,2,,London;J. C. Hotten;187-?,Fiction,Jesus Christ|Thirty piece,One of the thirty: a strange history now for the first time told,novel
uc1.b4439664,"Haring, Firth","Fabend, Firth Haring",,f,us,b. 1937,1968,,1968,1,1,,New York|W. Morrow|1968.,NotFiction,,The best of intentions,novel
njp.32101067706976,"Black, William",,,m,uk,1841-1898.,1883,1871,1883,1,1,vol.4,N.Y.;Lovell Co.;1883,NotFiction,,Monarch of Mincing Lane: Green pastures and Piccadilly,novel
nyp.33433082296223,"Mitford, Mary Russell",,,f,,"1787-1855,",1830,,1830,9,6,v. 2,London;H. Colburn and R. ,Fiction,Social life and customs|1,Stories of American life; by American writers,shortstories
hvd.32044024346314,,"Hart, Jannette M.",,f,,,1827,,1827,1,1,,Philadelphia;H. C. Carey ,Fiction,,"Nahant, or ""The floure of souvenance.""",novel
mdp.39015063955564,"pseud. Pry, Peter",,,m,,,1809,,1809,1,1,,"London, Printed by G. Haz",Fiction,Frederick Augustus|1771-1,Marmion travestied; a tale of modern times,poetry
uc1.b4089070,"Hawes, Charles Boardman",,,m,us,1889-1923.,1941,1920,1923,1,1,,"Boston|Little, Brown and ",NotFiction,"Fischer, Anton Otto|1882-",The mutineers; a tale of old days at sea,novel
nyp.33433075814842,,,,,,,1808,,1808,1,1,,New-York;Printed & publis,Fiction,,The Foundling of Belgrade : a translation from the French,novel
mdp.39015028549890,,,,,,,1969,,1950,2,2,,New York|Kraus Reprint|19,Short stories,African American authors|,"Best short stories by Afro-American writers, (1925-1950)",shortstories
mdp.39015054016459,"Gabaldon, Diana",,,f,us,b. 1952,1997,,1997,1,1,,New York|Delacorte Press|,Fantastic fiction|Fiction,Families|South Carolina|F,Drums of autumn,novel
mdp.39015014331725,"Bedford, John Harman",,,m,us,,1825,,1825,6,6,v.3,London;Printed for Sherwo,Fiction,"Fiction|Byron, George Gor","Wanderings of Childe Harolde. A romance of real life. Interspersed with memoirs of the English wife, the foreign mistress, and various other characters",novel
uc1.$b87044,"Burton, Elizabeth",,"Kerby, Susan",f,uk,1908-1952,1947,,1947,1,1,,"New York|Dodd, Mead & com",Fiction,,Fortune's gift,novel
uva.x030736355,"Grahame, Nellie, (Annie Ketchum)","Dunning, Annie Ketchum","Grahame, Nellie",f,us,1831-1896,1869,,1869,1,1,,Philadelphia;Presbyterian,NotFiction,,Mr. Wallingford's mistake,novel
nnc1.1002155460,"Balch, Frederic Homer",,,m,us,1861-1891,1890,,1890,5,3,,Chicago;A. C. McClurg;189,Fiction|UnknownGenre|NotF,,The bridge of the gods; a romance of Indian Oregon,novel
nyp.33433074851936,"Dyke, Watson",,,m,us,,1918,,1918,2,2,,New York;London;G.P. Putn,Fiction,,The hunter,novel
njp.32101067647816,"James, G. P. R. (George Payne Rainsford)","James, George Payne Rainsford",,m,uk,1799-1860.,1849,,1849,4,4,v.3,London;T.C. Newby;1849.,Fiction,"823J23W1849|Richard III, ",The woodman : a romance of the times of Richard III,novel
uiuo.ark+=13960=t0ht34n1h,"Kelty, Mary Ann",,,f,uk,1789-1873.,1822,,1822,3,3,v.2,London;Printed for G. and,,Fore-edge painting|823K29,Osmond,novel
